title,description,source,published_at,url,city,ingested_at
Study on fold formation mechanism and process optimization in multi-directional die forged valve bodies,"Fold defects represent a prevalent and detrimental issue in the multi-directional die forging of complex valve bodies, often resulting in product rejection and increased manufacturing costs. In this study, a three-dimensional thermo-mechanical coupled finite …",Plos.org,2025-12-26T14:00:00Z,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0337844,Delhi,2025-12-27T14:03:30.748590+00:00
Thermal power plants’ FY25 biomass shortfall due to supply challenges,"Thermal power plants face biomass shortfall in FY25 due to supply challenges, despite efforts to improve compliance and sustainability.",BusinessLine,2025-12-26T13:47:28Z,https://www.thehindubusinessline.com/news/thermal-power-plants-fy25-biomass-shortfall-due-to-supply-challenges/article70440238.ece,Delhi,2025-12-27T14:03:30.748606+00:00
India asks neighbor to protect minorities,"It is the responsibility of Bangladesh’s interim government to maintain law and order amid unrest, India has said Read Full Article at RT.com",RT,2025-12-26T13:39:33Z,https://www.rt.com/india/630051-india-asks-neighbor-to-protect/,Delhi,2025-12-27T14:03:30.748611+00:00
PM Modi to chair Chief Secretaries’ conference over weekend,"PM Modi to chair Chief Secretaries' conference, focusing on human capital and inclusive growth for national development this weekend.",BusinessLine,2025-12-26T13:39:03Z,https://www.thehindubusinessline.com/news/national/pm-modi-to-chair-chief-secretaries-conference-over-weekend/article70440191.ece,Delhi,2025-12-27T14:03:30.748615+00:00
"Govt amends rules to streamline approvals for opening coal, lignite mines",The government has changed rules for opening coal and lignite mines. Prior approval from the Coal Controller's Organisation is no longer needed. Company boards will now approve mine openings. This change aims to speed up operations and boost coal production.,The Times of India,2025-12-26T13:38:54Z,https://economictimes.indiatimes.com/industry/indl-goods/svs/metals-mining/govt-amends-rules-to-streamline-approvals-for-opening-coal-lignite-mines/articleshow/126191191.cms,Delhi,2025-12-27T14:03:30.748619+00:00
"Milk, ice, courage: Ferozepur’s 10-year-old honoured with Bal Puraskar for serving Army during Operation Sindoor",Sharvan Singh of Punjab’s Ferozepur district was among the 20 children honoured with the Pradhan Mantri Rashtriya Bal Puraskar by President Droupadi Murmu on Friday.,The Indian Express,2025-12-26T13:36:56Z,https://indianexpress.com/article/cities/chandigarh/erozepurs-10-year-honoured-bal-puraskar-serving-army-operation-sindoor-10440203/,Delhi,2025-12-27T14:03:30.748622+00:00
'Untenable': Govt Responds As Plea In Delhi HC Seeks GST On Air Purifiers Slashed To 5%,"Amid a rapidly deteriorating AQI in Delhi, the Central Government called a plea in the Delhi High Court seeking tax relief on air purifiers from 18% to 5% as ""untenable"" on Friday. The petition filed by advocate Kapil Madan maintained that air purifiers are b…",Ndtvprofit.com,2025-12-26T13:30:18Z,https://www.ndtvprofit.com/business/untenable-govt-responds-as-plea-in-delhi-hc-seeks-gst-on-air-purifiers-slashed-to-5,Delhi,2025-12-27T14:03:30.748626+00:00
Centre simplifies coal mine approvals by empowering company boards,"The Indian government has officially notified the Colliery Control (Amendment) Rules, 2025, to make it much easier to start coal mining operations. This new rule changes the law to allow the boards of coal companies to approve the opening of a mine, a seam, o…",Livemint,2025-12-26T13:29:51Z,https://www.livemint.com/companies/news/centre-simplifies-coal-mine-approvals-by-empowering-company-boards-11766755791677.html,Delhi,2025-12-27T14:03:30.748629+00:00
Virgin Atlantic to step up London–Bengaluru services next year,"Virgin Atlantic to increase London–Bengaluru flights from seven to 11 weekly, boosting capacity in response to strong demand.",BusinessLine,2025-12-26T13:29:24Z,https://www.thehindubusinessline.com/economy/logistics/virgin-atlantic-to-step-up-londonbengaluru-services-next-year/article70440102.ece,Delhi,2025-12-27T14:03:30.748632+00:00
"‘Groundless, irresponsible’: China denounces Pentagon report flagging Beijing interest in Arunachal Pradesh","Report distorts Beijing's defence policy; current border situation with India generally stable, says Chinese foreign ministry",The Indian Express,2025-12-26T13:28:48Z,https://indianexpress.com/article/india/china-pentagon-report-beijing-claim-arunachal-pradesh-10440428/,Delhi,2025-12-27T14:03:30.748636+00:00
HomeLane targets full-year profitability in FY26 as losses narrow,"The company reported revenue of ₹756 crore, a 22 per cent year-on-year growth, and turned EBITDA positive in the fourth quarter of FY25. Net losses declined to ₹80 crore from ₹121.7 crore a year earlier",BusinessLine,2025-12-26T13:25:50Z,https://www.thehindubusinessline.com/news/real-estate/homelane-targets-full-year-profitability-in-fy26-as-losses-narrow/article70440044.ece,Delhi,2025-12-27T14:03:30.748639+00:00
Indian govt’s ‘fully committed’ reaction to Lalit Modi-Vijay Mallya ‘fugitives’ viral clip,The reaction comes days after a new video of former IPL chairman Lalit Modi and fugitive businessman Vijay Mallya appeared on social media.,The Indian Express,2025-12-26T13:02:31Z,https://indianexpress.com/article/india/mea-reaction-lalit-modi-vijay-mallya-party-viral-video-10440241/,Delhi,2025-12-27T14:03:30.748642+00:00
"Arundhati Roy on New Memoir ""Mother Mary Comes to Me,"" Gaza & Authoritarianism from India to U.S.","In this holiday special, we speak to the acclaimed Indian writer Arundhati Roy on her new memoir, Mother Mary Comes to Me. The book focuses on her mother Mary Roy and how Arundhati was shaped by her, both as a source of terror and of inspiration. We also talk…",Democracy Now!,2025-12-26T13:01:30Z,https://www.democracynow.org/2025/12/26/arundhati_roy_on_new_memoir_mother,Delhi,2025-12-27T14:03:30.748645+00:00
Women’s safety in India: Between official data and lived reality in 2025,"India's women's safety challenges persist in 2025, with official crime data revealing only a fraction of the reality. Decades of reforms haven't erased gender inequality, social stigma, and uneven justice access, leaving many incidents unreported due to fear,…",The Times of India,2025-12-26T12:59:51Z,https://timesofindia.indiatimes.com/india/womens-safety-in-india-between-official-data-and-lived-reality-in-2025-year-ender/articleshow/126190067.cms,Delhi,2025-12-27T14:03:30.748648+00:00
"Megha Majumdar Explores Hope, Many Selves, And Urgent Questions","Megha Majumdar's new novel, 'A Guardian and a Thief’, is an Oprah's Book Club selection, a finalist for the National Book Award and the Kirkus Prize, and on the longlist for the American Library Association's Andrew Carnegie Medal. Her first book, 'A Burning’…",The Times of India,2025-12-26T12:50:53Z,https://timesofindia.indiatimes.com/india/megha-majumdar-explores-hope-many-selves-and-urgent-questions/articleshow/126190561.cms,Delhi,2025-12-27T14:03:30.748652+00:00
DAC meeting on key defence projects acquisitions postponed to next week,"The Defence Acquisition Council (DAC) meeting, scheduled to be held on Friday to clear several major indigenous defence projects, has been postponed to next week, official sources said.",BusinessLine,2025-12-26T12:49:20Z,https://www.thehindubusinessline.com/news/national/dac-meeting-on-key-defence-projects-acquisitions-postponed-to-next-week/article70439988.ece,Delhi,2025-12-27T14:03:30.748655+00:00
"FedEx strongly committed to India, says senior executive","The world’s largest express transport company operates 36 freighter flights per week to Delhi, Mumbai and Bengaluru",BusinessLine,2025-12-26T12:48:50Z,https://www.thehindubusinessline.com/economy/logistics/fedex-strongly-committed-to-india-says-senior-executive/article70439993.ece,Delhi,2025-12-27T14:03:30.748658+00:00
PS Commentators’ Predictions for 2026,"Donald Trump’s second presidency has reset global expectations, making uncertainty the defining feature of today’s geopolitical and economic landscape. While the path forward remains unclear, the year ahead will likely be marked by greater geopolitical and fi…",Project Syndicate,2025-12-26T12:45:44Z,https://www.project-syndicate.org/onpoint/ps-commentators-predictions-for-2026-by-ps-editors-2025-12,Delhi,2025-12-27T14:03:30.748661+00:00
"India bonds reverse two-day gains, weak debt sale revives shaky demand fears","Indian government bonds fell on ‍Friday as weak demand ​at a central government debt auction sparked a selloff in ⁠the secondary market, raising raised doubts about how long a recent rally can hold in the face of weak buying interest.",The Times of India,2025-12-26T12:44:53Z,https://economictimes.indiatimes.com/markets/bonds/india-bonds-reverse-two-day-gains-weak-debt-sale-revives-shaky-demand-fears/articleshow/126190589.cms,Delhi,2025-12-27T14:03:30.748664+00:00
"Precious metals dazzle in 2025, look to continue bull run in 2026","Even as gold and silver prices continue to surge, demand for both precious metals remain. This is expected to continue in 2026 as well.",BusinessLine,2025-12-26T12:38:12Z,https://www.thehindubusinessline.com/news/precious-metals-dazzle-in-2025-look-to-continue-bull-run-in-2026/article70439664.ece,Delhi,2025-12-27T14:03:30.748667+00:00
Myanmar to hold first general elections in five years,Myanmar’s military junta ousted the elected government of Aung San Suu Kyi in 2021 Read Full Article at RT.com,RT,2025-12-26T12:37:29Z,https://www.rt.com/india/630048-myanmar-to-hold-first-general/,Delhi,2025-12-27T14:03:30.748671+00:00
AI startup founder forgets US visa papers; delivery app saves the day by 15-minute miracle at Delhi embassy,"A woman's US visa interview was saved by Blinkit's 15-minute delivery service. Realizing she was missing crucial documents while in the embassy queue, she used the quick-commerce app to print and receive them in minutes. This timely intervention ensured her O…",The Times of India,2025-12-26T12:34:11Z,https://timesofindia.indiatimes.com/etimes/trending/ai-startup-founder-forgets-us-visa-papers-delivery-app-saves-the-day-by-15-minute-miracle-at-delhi-embassy/articleshow/126188772.cms,Delhi,2025-12-27T14:03:30.748674+00:00
Northeast flight bookings soar as OTT content boosts regional tourism: Report,"Indian OTT series are now catalyzing a tourism boom in the Northeast, with a notable upsurge in flight reservations for destinations like Imphal and Dimapur by 2025. This phenomenon underscores the power of narratives in influencing travel choices. Additional…",The Times of India,2025-12-26T12:29:57Z,https://economictimes.indiatimes.com/industry/services/travel/northeast-flight-bookings-soar-as-ott-content-boosts-regional-tourism-report/articleshow/126190366.cms,Delhi,2025-12-27T14:03:30.748677+00:00
No more tears: Customers can now buy subsidised onion at Rs 19/kg in Delhi-NCR,The National Cooperative Consumers' Federation is selling onions at a subsidized rate of Rs 19 per kg in Delhi-NCR. This initiative aims to provide relief to consumers facing high market prices. Onions are being sold through mobile vans and NCCF's retail outl…,The Times of India,2025-12-26T12:28:36Z,https://economictimes.indiatimes.com/industry/cons-products/food/no-more-tears-customers-can-now-buy-subsidised-onion-at-rs-19/kg-in-delhi-ncr/articleshow/126190352.cms,Delhi,2025-12-27T14:03:30.748680+00:00
"NBFCs raise Rs 635 billion across 24 IPOs in 2025, accounting for 26.6% of total proceeds - The Tribune","In contrast, banks took a more calibrated approach. While private banks recorded virtually no IPO fundraising in CY25, PSU banks emerged as dominant players in the Qualified Institutional Placement (QIP) market.",The Tribune India,2025-12-26T12:14:25Z,https://www.tribuneindia.com/news/business/nbfcs-raise-rs-635-billion-across-24-ipos-in-2025-accounting-for-26-6-of-total-proceeds/,Delhi,2025-12-27T14:03:30.748683+00:00
Health Minister Reviews Progress Of Indian Pharmacopoeia Commission | Nation,New Delhi: Union Health Minister JP Nadda on Friday undertook a review of the progress of Indian Pharmacopoeia Commission to ensure the quality of,Ommcomnews.com,2025-12-26T12:08:05Z,https://ommcomnews.com/india-news/health-minister-reviews-progress-of-indian-pharmacopoeia-commission/,Delhi,2025-12-27T14:03:30.748686+00:00
Titan enters lab-grown diamond jewellery market with beYon,"Titan Company is launching its lab-grown diamond (LGD) jewellery brand, beYon, to tap into India's growing demand for affordable diamond alternatives. The brand will offer a curated range of LGD jewellery, with the first exclusive store opening in Mumbai. Thi…",The Times of India,2025-12-26T12:07:29Z,https://economictimes.indiatimes.com/industry/cons-products/fashion-/-cosmetics-/-jewellery/titan-enters-lab-grown-diamond-jewellery-market-with-beyon/articleshow/126190056.cms,Delhi,2025-12-27T14:03:30.748689+00:00
IndiGo faces Rs 13 lakh GST penalty,"IndiGo faces a Goods and Services Tax penalty of over thirteen lakh rupees. The airline's parent company, InterGlobe Aviation, stated the order is erroneous. IndiGo plans to challenge the ruling. The company believes it has a strong case. This development wil…",The Times of India,2025-12-26T12:02:52Z,https://economictimes.indiatimes.com/industry/transportation/airlines-/-aviation/indigo-faces-rs-13-lakh-gst-penalty/articleshow/126190008.cms,Delhi,2025-12-27T14:03:30.748692+00:00
India slaps anti-dumping duty on two chinese products,"India has levied anti-dumping duties on two Chinese imports, a refrigerant gas and specific steel products. These measures aim to shield domestic manufacturers from below-normal priced goods. Additionally, duties are now in place for a plastic filler masterba…",The Times of India,2025-12-26T12:01:01Z,https://economictimes.indiatimes.com/news/economy/foreign-trade/india-slaps-anti-dumping-duty-on-two-chinese-products/articleshow/126189986.cms,Delhi,2025-12-27T14:03:30.748695+00:00
Total small business credit touch Rs 46 lakh cr: Report,"Small business credit exposure has surged to Rs 46 lakh crore, a 16% increase, with active loan accounts growing by 11.8%. Policy support and government schemes have fueled this momentum, leading to improved portfolio quality and lower risk profiles across se…",The Times of India,2025-12-26T11:51:26Z,https://economictimes.indiatimes.com/industry/banking/finance/total-small-business-credit-touch-rs-46-lakh-cr-report/articleshow/126189840.cms,Delhi,2025-12-27T14:03:30.748698+00:00
IndiGo flight status today: Airline cancels 40+ flights amid bad weather conditions across Indian airports,"IndiGo cancelled 44 flights on Friday and 15 for Saturday due to anticipated bad weather, primarily affecting North Indian airports. This adds to the airline's winter challenges, with the DGCA designating December 10 to February 10 as a period prone to flight…",The Times of India,2025-12-26T11:50:19Z,https://economictimes.indiatimes.com/industry/transportation/airlines-/-aviation/indigo-flight-status-today-airline-cancels-40-flights-amid-bad-weather-conditions-across-indian-airports-december-26/articleshow/126187180.cms,Delhi,2025-12-27T14:03:30.748701+00:00
66 pc of existing users eager to purchase property in India's RRTS corridors: Report,"The Regional Rapid Transit System (RRTS) in the country is emerging as a strong catalyst for corridor-led investment, with nearly 80 per cent of surveyed existing users associating improved RRTS connectivity with enhanced economic opportunities in their regio…",The Times of India,2025-12-26T11:29:39Z,https://economictimes.indiatimes.com/markets/digital-real-estate/realty-news/66-pc-of-existing-users-eager-to-purchase-property-in-indias-rrts-corridors-report/articleshow/126189479.cms,Delhi,2025-12-27T14:03:30.748704+00:00
"BECIL Delhi recruitment 2025 notification out: Check post-wise details, steps to apply here","BECIL is recruiting 77 contractual staff for a Delhi NCR hospital in 2026. Openings span technical, medical, administrative, and support roles, including Data Entry Operators and Radiographers. Graduates and skilled individuals can apply offline by post, with…",The Times of India,2025-12-26T11:25:16Z,https://timesofindia.indiatimes.com/education/news/becil-delhi-recruitment-2025-notification-out-check-post-wise-details-steps-to-apply-here/articleshow/126189411.cms,Delhi,2025-12-27T14:03:30.748707+00:00
TCI expands cold chain warehousing capacity with 1.5 lakh sq ft facility in Gurugram,Transport Corporation of India has opened a new cold chain warehouse in Gurugram. The 1.5 lakh sq ft facility at Taj Nagar will serve sectors like quick commerce and pharmaceuticals. This expansion strengthens TCI's ability to support fast-moving supply chain…,The Times of India,2025-12-26T11:17:00Z,https://economictimes.indiatimes.com/industry/services/property-/-cstruction/tci-expands-cold-chain-warehousing-capacity-with-1-5-lakh-sq-ft-facility-in-gurugram/articleshow/126189325.cms,Delhi,2025-12-27T14:03:30.748710+00:00
"New BIS standard for 'agarbattis' to ensure consumer safety, boost Rs 8,000 cr market","India, the world's largest agarbatti producer, has introduced a new quality standard, IS 19412:2025, to ensure consumer safety by prohibiting certain insecticidal and fragrance chemicals. This move aims to boost the Rs 8,000 crore incense stick market and enh…",The Times of India,2025-12-26T11:16:17Z,https://economictimes.indiatimes.com/industry/cons-products/fmcg/new-bis-standard-for-agarbattis-to-ensure-consumer-safety-boost-rs-8000-cr-market/articleshow/126189315.cms,Delhi,2025-12-27T14:03:30.748713+00:00
LIC ties up with Sahaj Insurance Services to widen insurance access in rural India,Life Insurance Corporation of India has partnered with Sahaj Insurance Services. This collaboration aims to bring LIC's life insurance products to rural and semi-urban India. Sahaj's digital network will help citizens understand and enroll in policies. This i…,The Times of India,2025-12-26T11:12:45Z,https://economictimes.indiatimes.com/industry/banking/finance/insure/sahaj-insurance-services-ties-up-with-life-insurance-corporation-of-india-for-product-distribution/articleshow/126189225.cms,Delhi,2025-12-27T14:03:30.748716+00:00
Delhi HC asks Centre why GST on air purifiers can’t be lowered,"Additional Solicitor General N Venkataraman, representing the Centre, said voting has to be done physically and it cannot be done through video conferencing and added that the government will file an extremely detailed counter affidavit in the matter",BusinessLine,2025-12-26T11:11:32Z,https://www.thehindubusinessline.com/news/delhi-hc-asks-centre-why-gst-on-air-purifiers-cant-be-lowered/article70439609.ece,Delhi,2025-12-27T14:03:30.748718+00:00
Mumbai City confirms exit of majority stakeholders City Football Group due to ISL's uncertainty,"Mumbai City FC's majority owner, City Football Group, has sold its stake back to the club's founders. This move comes amid uncertainty surrounding the Indian Super League's future. City Football Group, which owns Manchester City, had a 65 percent share since …",The Times of India,2025-12-26T10:59:53Z,https://economictimes.indiatimes.com/news/sports/mumbai-city-confirms-exit-of-majority-stakeholders-city-football-group-due-to-isls-uncertainty/articleshow/126189071.cms,Delhi,2025-12-27T14:03:30.748721+00:00
Centre asks IAS officers to file property details in time or face action,"Indian Administrative Service officers must now file their property details by January 31 annually. Failure to comply will result in disciplinary action and can halt promotions. The online filing system, SPARROW, will automatically close after the deadline. S…",The Times of India,2025-12-26T10:59:23Z,https://economictimes.indiatimes.com/news/economy/policy/centre-asks-ias-officers-to-file-property-details-in-time-or-face-action/articleshow/126189065.cms,Delhi,2025-12-27T14:03:30.748724+00:00
"How a Bulandshahr IIT graduate overcame cerebral palsy, once struggled to hold a pencil, and cleared UPSC in first attempt","Manvendra Singh, a 24-year-old IIT graduate, secured an All India Rank of 112 in the ESE 2025 in his first attempt, overcoming cerebral palsy from infancy. His journey, marked by medical challenges, persistent effort, and family support, highlights his remark…",The Times of India,2025-12-26T10:59:13Z,https://economictimes.indiatimes.com/news/india/how-a-bulandshahr-iit-graduate-overcame-cerebral-palsy-once-struggled-to-hold-a-pencil-and-cleared-upsc-in-first-attempt/articleshow/126188843.cms,Delhi,2025-12-27T14:03:30.748727+00:00
TCI expands cold chain warehousing with 1.5 lakh sq ft facility in Gurugram,"Operated by TCI Cold Chain Solutions Ltd, the warehouse is designed to support high-throughput sectors such as quick commerce, pharmaceuticals, food and beverages, dairy, meat and poultry, and life sciences.",BusinessLine,2025-12-26T10:56:56Z,https://www.thehindubusinessline.com/economy/logistics/tci-expands-cold-chain-warehousing-with-15-lakh-sq-ft-facility-in-gurugram/article70439603.ece,Delhi,2025-12-27T14:03:30.748730+00:00
"India condemns killing of minority youth in Bangladesh, says incidents can’t be brushed aside","India on Friday condemned the brutal killing of a 25-year-old minority Bangladeshi national that shocked the world last week, saying such incidents cannot be brushed aside.",The Times of India,2025-12-26T10:55:04Z,https://economictimes.indiatimes.com/news/india/india-condemns-killing-of-hindu-individual-in-bangladesh-mea-says-incidents-cant-be-brushed-aside/articleshow/126188972.cms,Delhi,2025-12-27T14:03:30.748733+00:00
"After apricots & apples, NDDB looks to pluck sea buckthorn from Ladakh","Sea buckthorn berries are celebrated globally as a nutritional powerhouse, rich in Vitamin C, omega fatty acids (including rare omega-7), antioxidants and phytonutrients",BusinessLine,2025-12-26T10:53:25Z,https://www.thehindubusinessline.com/economy/agri-business/after-apricots-apples-nddb-looks-to-pluck-sea-buckthorn-from-ladakh/article70439557.ece,Delhi,2025-12-27T14:03:30.748736+00:00
"Culture in 2025: Maha Kumbh, ‘Vande Mataram’ at 150, Deepavali gets UNESCO tag",India secured two UNESCO honours — the inscription of Maratha Military Landscapes as World Heritage and Deepavali as Intangible Cultural Heritage.,BusinessLine,2025-12-26T10:47:05Z,https://www.thehindubusinessline.com/news/variety/culture-in-2025-maha-kumbh-vande-mataram-at-150-deepavali-gets-unesco-tag/article70439567.ece,Delhi,2025-12-27T14:03:30.748739+00:00
How 'Google fear and threat' just made Nvidia just spend $20 billion,"Nvidia has reportedly acquired AI chip startup Groq for $20 billion, a move seen as a defensive strategy against the growing preference for custom silicon like Google's TPUs. This acquisition aims to address cost efficiency and demand for higher processing sp…",The Times of India,2025-12-26T10:45:44Z,https://timesofindia.indiatimes.com/technology/tech-news/how-google-fear-and-threat-just-made-nvidia-just-spend-20-billion/articleshow/126188810.cms,Delhi,2025-12-27T14:03:30.748748+00:00
"RRTS can transform urban mobility, act as catalyst for decentralised economic growth: Knight Frank","Discover how RRTS can revolutionize urban mobility and stimulate economic growth, as highlighted by Knight Frank's latest report.",BusinessLine,2025-12-26T10:35:34Z,https://www.thehindubusinessline.com/economy/logistics/rrts-can-transform-urban-mobility-act-as-catalyst-for-decentralised-economic-growth-knight-frank/article70439483.ece,Delhi,2025-12-27T14:03:30.748751+00:00
"Over 27,000 EV chargers set up at petrol pumps across India",India boosted its electric vehicle charging network in 2025. Thousands of new stations were installed at petrol pumps nationwide. Oil companies also added many more charging points. This makes charging electric cars and bikes easier for everyone. The country …,The Times of India,2025-12-26T10:33:58Z,https://economictimes.indiatimes.com/industry/renewables/over-27000-ev-chargers-set-up-at-petrol-pumps-across-india/articleshow/126188609.cms,Delhi,2025-12-27T14:03:30.748754+00:00
Thai rice enjoys $75/t premium over Indian cereal as it eyes G2G deal with China,"Thai rice prices rise 15%, gaining a $75/t premium over Indian rice amid potential China deal, impacting Indian market dynamics.",BusinessLine,2025-12-26T10:25:05Z,https://www.thehindubusinessline.com/economy/agri-business/thai-rice-enjoys-75t-premium-over-indian-cereal-as-it-eyes-g2g-deal-with-china/article70439114.ece,Delhi,2025-12-27T14:03:30.748757+00:00
